lat,lng,license,time,model,engine,chassis
15.54207,73.8213849,ADTEST2,2018-09-11T09:33:39+05:30,TOYOTA,1HQ0039202,606F30-98714
15.54207,73.8213849,ADTEST2,2018-09-11T09:33:33+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5437099,73.82082,ADTEST2,2018-09-11T09:33:11+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5449499,73.8200666,ADTEST2,2018-09-11T09:32:41+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5461433,73.8192833,ADTEST2,2018-09-11T09:32:11+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5479133,73.81822,ADTEST2,2018-09-11T09:31:41+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5507466,73.8179216,ADTEST2,2018-09-11T09:31:11+05:30,TOYOTA,1HQ0039202,606F30-98714
15.55298,73.8173216,ADTEST2,2018-09-11T09:30:41+05:30,TOYOTA,1HQ0039202,606F30-98714
15.55298,73.8173216,ADTEST2,2018-09-11T09:30:33+05:30,TOYOTA,1HQ0039202,606F30-98714
15.555215,73.8157833,ADTEST2,2018-09-11T09:30:05+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5586916,73.8132716,ADTEST2,2018-09-11T09:29:35+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5622666,73.8107583,ADTEST2,2018-09-11T09:29:05+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5646049,73.809295,ADTEST2,2018-09-11T09:28:35+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5658233,73.8084916,ADTEST2,2018-09-11T09:28:05+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5667366,73.80763,ADTEST2,2018-09-11T09:27:35+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5703366,73.80677,ADTEST2,2018-09-11T09:27:05+05:30,TOYOTA,1HQ0039202,606F30-98714
15.573445,73.80677,ADTEST2,2018-09-11T09:26:35+05:30,TOYOTA,1HQ0039202,606F30-98714
15.57519,73.8065016,ADTEST2,2018-09-11T09:26:05+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5777983,73.8061633,ADTEST2,2018-09-11T09:25:35+05:30,TOYOTA,1HQ0039202,606F30-98714
15.58004,73.8063449,ADTEST2,2018-09-11T09:25:05+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5819433,73.8066183,ADTEST2,2018-09-11T09:24:35+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5851316,73.8077799,ADTEST2,2018-09-11T09:24:05+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5879983,73.8088283,ADTEST2,2018-09-11T09:23:35+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5896216,73.809625,ADTEST2,2018-09-11T09:23:05+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5909516,73.8102233,ADTEST2,2018-09-11T09:22:35+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5909816,73.8097283,ADTEST2,2018-09-11T09:22:05+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5914133,73.8080966,ADTEST2,2018-09-11T09:21:35+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5924433,73.80654,ADTEST2,2018-09-11T09:21:05+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5930766,73.8055016,ADTEST2,2018-09-11T09:20:35+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5930766,73.8055016,ADTEST2,2018-09-11T09:20:33+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5934699,73.8057466,ADTEST2,2018-09-11T09:20:18+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5945966,73.8061116,ADTEST2,2018-09-11T09:19:48+05:30,TOYOTA,1HQ0039202,606F30-98714
15.595265,73.805605,ADTEST2,2018-09-11T09:19:18+05:30,TOYOTA,1HQ0039202,606F30-98714
15.595265,73.805605,ADTEST2,2018-09-11T09:19:16+05:30,TOYOTA,1HQ0039202,606F30-98714
15.59515,73.805635,ADTEST2,2018-09-11T09:19:02+05:30,TOYOTA,1HQ0039202,606F30-98714
15.59515,73.805635,ADTEST2,2018-09-11T09:18:52+05:30,TOYOTA,1HQ0039202,606F30-98714
15.59515,73.805635,ADTEST2,2018-09-11T09:17:52+05:30,TOYOTA,1HQ0039202,606F30-98714
15.59515,73.805635,ADTEST2,2018-09-11T09:16:52+05:30,TOYOTA,1HQ0039202,606F30-98714
15.59515,73.805635,ADTEST2,2018-09-11T09:15:52+05:30,TOYOTA,1HQ0039202,606F30-98714
15.59515,73.805635,ADTEST2,2018-09-11T09:14:52+05:30,TOYOTA,1HQ0039202,606F30-98714
15.59515,73.805635,ADTEST2,2018-09-11T09:13:52+05:30,TOYOTA,1HQ0039202,606F30-98714
15.59515,73.805635,ADTEST2,2018-09-11T09:12:52+05:30,TOYOTA,1HQ0039202,606F30-98714
